Ahmedabad:72.5714:23.0225:0.0:0.5:
Aligarh:78.0880:27.8974:0.0:-0.5:
Allahabad:81.8463:25.4358:0.0:0.5:
Berhampur:84.7941:19.3150:0.0:-0.5:
Bhubaneswar:85.8245:20.2961:0.0:0.5:
Chandigarh:76.7794:30.7333:0.0:-0.5:
Chennai:80.2707:13.0827:0.0:-0.5:
Delhi:77.1025:28.7041:0.0:0.5:
Guwahati:91.7362:26.1445:0.0:0.5:
Hyderabad:78.4867:17.3850:0.0:0.5:
Indore:75.8577:22.7196:0.0:0.5:
Jaipur:75.7873:26.9124:0.0:0.5:
Jammu:74.8570:32.7266:0.0:0.5:
Kolkata:88.3639:22.5726:0.0:0.5:
Lucknow:80.9462:26.8467:0.0:0.5:
Ludhiana:75.8573:30.9010:0.0:0.5:
Mumbai:72.8777:19.0760:0.0:0.6:
Panchanpur:84.8646:24.8903:0.0:-0.5:
Patna:85.1376:25.5941:0.0:0.5:
Pune:73.8567:18.5204:0.0:-0.5:
Tirupati:79.4192:13.6288:0.0:0.5:
Varanasi:82.9739:25.3176:0.0:-0.5:
Visakhapatnam:83.2185:17.6868:0.0:0.5:
