NA:North America:US,CA,MX
SA:South America:BR
CERN:CERN:CERN
ASIA:Asia:CN,JP,IN,VN,KR,RU,TW
AFRICA:Africa:ZA
EU:Europe:UK,CH,FR,DE,NL,IT,NO,PL,PT,DK,ES,BG,SL,SE,FI,CERN
