Aligarh:Aligarh Muslim University (AMU):
Varanasi:Banaras Hindu University:
Panchanpur:Central University of South Bihar (CUSB):
Allahabad:Harish-Chandra Research Institute:
Mumbai:Indian Institute of Technology Bombay (IIT Bombay):
Guwahati:Indian Institute of Technology Guwahati (IIT Guwahati):
Hyderabad:Indian Institute of Technology Hyderabad (IIT Hyderabad):
Chandigarh:Panjab University:
Ahmedabad:Physical Research Laboratory (PRL):
Ludhiana:Punjab Agricultural University:
Visakhapatnam:Raghu Engineering College:
Delhi:The Jawaharlal Nehru University:
Delhi:University of Delhi:
Hyderabad:University of Hyderabad:
Jammu:University of Jammu:
Lucknow:University of Lucknow (Lucknow University):
Kolkata:Variable Energy Cyclotron Centre:
