Mumbai:Tata Institute of Fundamental Research:
Kolkata:Saha Institute of Nuclear Physics, HBNI
Chennai:Indian Institute of Technology Madras:
Pune:Indian Institute of Science Education and Research (IISER):
Delhi:University of Delhi:
Chandigarh:Panjab University:
Bhubaneswar:National Institute of Science Education and Research:
